2020/02/14 07:22:05 [error] 6#6: *1 open() "/static/admin/css/fonts.css" failed (2: No such file or directory), client: 10.0.2.15, server: 127.0.0.1, request: "GET /static/admin/css/fonts.css HTTP/1.1", host: "10.0.2.15:8000", referrer: "http://10.0.2.15:8000/"
2020/02/14 07:41:02 [error] 6#6: *1 open() "/static/admin/css/fonts.css" failed (2: No such file or directory), client: 10.11.50.171, server: 127.0.0.1, request: "GET /static/admin/css/fonts.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/"
2020/02/14 07:43:24 [error] 6#6: *1 open() "/static/admin/css/fonts.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/fonts.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/"
2020/02/14 07:43:39 [error] 6#6: *1 open() "/static/admin/css/fonts.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/fonts.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/"
2020/02/14 07:43:40 [error] 6#6: *1 open() "/static/admin/css/fonts.css" failed (2: No such file or directory), client: 10.11.50.171, server: 0.0.0.0, request: "GET /static/admin/css/fonts.css HTTP/1.1", host: "10.11.50.205:8000", referrer: "http://10.11.50.205:8000/"
2020/02/14 07:44:21 [error] 6#6: *7 open() "/static/admin/css/fonts.css" failed (2: No such file or directory), client: 172.19.0.1, server: 0.0.0.0, request: "GET /static/admin/css/fonts.css HTTP/1.1", host: "localhost:8000", referrer: "http://localhost:8000/"
2020/02/14 08:43:09 [emerg] 1#1: host not found in upstream "web:8001" in /etc/nginx/conf.d/prj_sports_nginx.conf:4
2020/02/14 08:45:59 [emerg] 1#1: host not found in upstream "web:8001" in /etc/nginx/conf.d/prj_sports_nginx.conf:4
2020/02/14 08:48:48 [emerg] 1#1: host not found in upstream "web:8001" in /etc/nginx/conf.d/prj_sports_nginx.conf:4
2020/02/14 08:49:33 [emerg] 1#1: host not found in upstream "web:8001" in /etc/nginx/conf.d/prj_sports_nginx.conf:4
2020/02/14 08:53:09 [emerg] 1#1: host not found in upstream "web:8001" in /etc/nginx/conf.d/prj_sports_nginx.conf:4
2020/02/14 08:55:02 [emerg] 1#1: host not found in upstream "web:8001" in /etc/nginx/conf.d/prj_sports_nginx.conf:4
2020/02/14 08:55:40 [emerg] 1#1: host not found in upstream "web:8001" in /etc/nginx/conf.d/prj_sports_nginx.conf:4
2020/02/14 08:56:18 [emerg] 1#1: host not found in upstream "web:8001" in /etc/nginx/conf.d/prj_sports_nginx.conf:4
2020/02/14 08:57:45 [emerg] 1#1: host not found in upstream "web:8001" in /etc/nginx/conf.d/prj_sports_nginx.conf:4
